EventID,EventType,StartDateTime,EndDateTime,Borough,CommunityBoard(s),PolicePrecinct(s),Category,SubCategoryName,ZipCode(s),EventDuration in Hours,EncodedEventType,Mean Event Duration,Count Event Duration,Median Event Duration,Modal EventType,Max Event Duration,Min Event Duration,Maximum Event Duration for Shooting Permits,Minimum Event Duration for Shooting Permits,Average Event Duration for Shooting Permits,Maximum Event Duration for Theater Load in and Load Outs,Average Event Duration for Theater Load in and Load Outs,Maximum Event Duration for Rigging Permit,Average Event Duration for Rigging Permit,Maximum Event Duration for DCAS Prep/Shoot/Wrap Permit,Average Event Duration for DCAS Prep/Shoot/Wrap Permit
746565,Shooting Permit,11/6/23 6:00,11/6/23 22:00,Brooklyn,1,94,Commercial,Commercial,11222,16,0,22.81703593,3340,,,,,,,,,,,,,
746618,Shooting Permit,11/5/23 15:00,11/5/23 22:00,Queens,1,114,Student,Student Film,"11102, 11106",7,0,22.81907757,3339,,,,,,,,,,,,,
747987,Shooting Permit,11/6/23 7:00,11/6/23 22:00,Queens,7,109,Film,Feature,11354,15,0,22.82381666,3338,,,,,,,,,,,,,
746477,Shooting Permit,11/6/23 7:00,11/6/23 17:00,Manhattan,"2, 64, 7","20, 22, 84",Commercial,Commercial,"10023, 11201",10,0,22.82616122,3337,,,,,,,,,,,,,
748231,Shooting Permit,11/8/23 7:00,11/9/23 1:00,Manhattan,1,1,Commercial,Commercial,"10006, 10038",18,0,22.830006,3336,,,,,,,,,,,,,
746217,Theater Load in and Load Outs,11/8/23 7:00,11/8/23 23:00,Brooklyn,2,88,Theater,Theater,11217,16,1,22.83145427,3335,,,,,,,,,,,,,
745955,Shooting Permit,11/7/23 12:00,11/7/23 21:00,Manhattan,5,18,Film,Short,10036,9,0,22.8335033,3334,,,,,,,,,,,,,
748103,Shooting Permit,11/8/23 6:00,11/8/23 21:00,Brooklyn,"6, 7","72, 76",WEB,Not Applicable,"11231, 11232",15,0,22.83765377,3333,,,,,,,,,,,,,
746443,Theater Load in and Load Outs,11/7/23 0:01,11/9/23 23:59,Manhattan,"11, 3","23, 9",Theater,Theater,"10003, 10029",71.96666667,1,22.840006,3332,,,,,,,,,,,,,
747990,Shooting Permit,11/8/23 6:00,11/8/23 22:00,Queens,7,109,Film,Feature,11354,16,0,22.82525768,3331,,,,,,,,,,,,,
747957,Theater Load in and Load Outs,11/7/23 6:00,11/9/23 5:30,Manhattan,7,20,Theater,Theater,10023,47.5,1,22.82730731,3330,,,,,,,,,,,,,
747837,Theater Load in and Load Outs,11/8/23 0:01,11/8/23 23:59,Manhattan,"4, 5",14,Theater,Theater,"10001, 10121",23.96666667,1,22.81989586,3329,,,,,,,,,,,,,
748067,Shooting Permit,11/6/23 6:00,11/6/23 21:00,Queens,2,108,Commercial,Commercial,11101,15,0,22.81955128,3328,,,,,,,,,,,,,
746699,Shooting Permit,11/8/23 6:00,11/8/23 22:00,Brooklyn,1,94,Commercial,Commercial,11222,16,0,22.82190161,3327,,,,,,,,,,,,,
748026,Shooting Permit,11/8/23 6:00,11/8/23 20:00,Brooklyn,11,62,Television,Variety,"11214, 11223",14,0,22.8239527,3326,,,,,,,,,,,,,
748272,Shooting Permit,11/7/23 17:00,11/7/23 23:59,Manhattan,5,18,Television,News,"10036, 10105",6.983333333,0,22.82660652,3325,,,,,,,,,,,,,
748236,Shooting Permit,11/8/23 7:00,11/8/23 19:00,Manhattan,2,6,Still Photography,Not Applicable,10014,12,0,22.83137284,3324,,,,,,,,,,,,,
726650,Shooting Permit,6/27/23 6:00,6/27/23 21:00,Brooklyn,13,60,Still Photography,Not Applicable,11224,15,0,22.83463236,3323,,,,,,,,,,,,,
718997,Shooting Permit,6/27/23 6:00,6/27/23 23:59,Manhattan,12,33,WEB,Not Applicable,10032,17.98333333,0,22.83699077,3322,,,,,,,,,,,,,
725991,Shooting Permit,6/27/23 7:00,6/27/23 21:00,Queens,2,108,Television,Episodic series,11101,14,0,22.83845227,3321,,,,,,,,,,,,,
726651,Shooting Permit,6/27/23 7:00,6/27/23 19:00,Brooklyn,6,76,WEB,Not Applicable,11231,12,0,22.84111446,3320,,,,,,,,,,,,,
